ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
MTD,37.03541,32.46975,-121.74112,7.760951,27.108,,,0.20481001,0.21202,0.28497,0.59731996,,1.075,0.634,0.079,0.061,30592047104,40.1,45.73857,-12.199,,1.417,Healthcare,2026-01-11
WST,40.817776,35.53139,6.491835,6.5680923,24.328,,0.16945,0.10222,0.16293,0.21849,0.35578,9.93,2.87,2.016,0.077,0.038,19821846528,6.75,7.75427,42.441,0.32,1.167,Healthcare,2026-01-11
JPM,16.312685,15.659808,2.6344264,5.412886,,,0.16437,0.01323,0.347,0.43708,0.0,,,,0.088,0.16,905191489536,20.18,21.02133,124.957,1.82,1.066,Financials,2026-01-11
BAC,15.2595625,12.838106,1.4716344,4.1621723,,,0.09871,0.00881,0.29224002,0.35292998,0.0,,,,0.126,0.315,422231572480,3.66,4.35033,37.951,2.01,1.295,Financials,2026-01-11
WFC,15.807248,13.805874,1.836223,3.8872187,,,0.115200005,0.01064,0.26629,0.33717,0.0,,,,0.075,0.169,307370164224,6.07,6.94994,52.254,1.88,1.088,Financials,2026-01-11
GS,19.084959,16.857702,2.698071,4.957515,,,0.13532,0.009430001,0.29073998,0.37203997,0.82997,586.142,1.657,1.49,0.207,0.458,284249030656,49.2,55.70035,348.019,1.7,1.322,Financials,2026-01-11
MS,19.129364,17.517206,2.9582586,4.3400064,,,0.15135,0.01245,0.23606001,0.38872,0.86797,420.553,2.266,1.85,0.191,0.489,297429303296,9.74,10.6364,62.983,2.15,1.197,Financials,2026-01-11
BLK,27.930502,20.318771,3.0318525,7.356533,19.623,,0.120740004,0.034140002,0.26638,0.3214,0.47664002,24.32,2.256,1.661,0.252,-0.226,168354250752,38.85,53.40382,357.9,1.92,1.484,Financials,2026-01-11
SPGI,39.35657,27.254751,4.962548,11.021468,23.708,,0.119940005,0.06626,0.28091,0.44316003,0.69824,31.784,0.974,0.78,0.088,0.241,165454282752,13.77,19.88424,109.206,0.71,1.207,Financials,2026-01-11
C,17.039326,12.227595,1.1190953,2.962668,,,0.06995,0.0058399998,0.19488001,0.30606002,0.0,,,,0.116,0.232,223337742336,7.12,9.92182,108.409,1.98,1.166,Financials,2026-01-11
